Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,9,30,28.5,2.5,0,15.5,0,18036.55789232658
1980,10,1,29.5,4,0,16.75,0,17934.89148163623
1980,10,2,28,4,0,16,0,20156.01648060304
1980,10,3,28.5,3,0,15.75,0,19115.384923073343
1980,10,4,28.5,3,0,15.75,0,19115.384923073343
1980,10,5,27.5,3,0,15.25,0,19738.19382346551
1980,10,6,26.5,2,0,14.25,0,19549.583613418647
1980,10,7,26.5,3,0,14.75,0,21839.879541718252
1980,10,8,27,2.5,0,14.75,0,20383.88757227037
1980,10,9,27.5,3,0,15.25,0,19738.19382346551
1980,10,10,27,3,0,15,0,21490.845876734515
1980,10,11,24,4.5,0,14.25,0,27068.65423396428
1980,10,12,21.5,6.5,0,14,0,33624.464311613716
1980,10,13,18,2.5,2,10.25,0.2,33263.31956362078
1980,10,14,15,5,3,10,0.3,43773.09937324344
1980,10,15,9,-0.5,8,4.25,0.8,44278.30563575375
1980,10,16,6.5,-4,2,1.25,0.2,40193.21436754361
1980,10,17,9.5,-8,0,0.75,0,30305.432663982276
1980,10,18,12,-7,0,2.5,0,30068.540081444815
1980,10,19,14,-4,0,5,0,30809.585710145326
1980,10,20,15.5,-4.5,0,5.5,0,27049.987910818778
1980,10,21,17,-5,0,6,0,23515.03650922082
1980,10,22,18,-2,0,8,0,27330.198531588587
1980,10,23,17.5,-3,0,7.25,0,26369.719383270047
1980,10,24,16.5,-6,0,5.25,0,24772.214874500827
1980,10,25,18,-6.5,0,5.75,0,21267.544553723263
1980,10,26,12,0.5,4,6.25,0.4,41087.939367334846
1980,10,27,7.5,-3.5,0,2,0,41548.79304783367
1980,10,28,11,-2,0,4.5,0,37707.27774182538
1980,10,29,13,-4,0,4.5,0,29005.598262942596
1980,10,30,15.5,-5.5,0,5,0,25207.842853755265
1980,10,31,16.5,-6,0,5.25,0,22019.746555111844
1980,11,1,17.5,-6,0,5.75,0,21267.544553723263
1980,11,2,19.5,-5,0,7.25,0,19177.977733287305
1980,11,3,20,-3.5,0,8.25,0,20151.953934417994
1980,11,4,20,0,0,10,0,23876.23602176915
1980,11,5,20,0,0,10,0,25865.922356916577
1980,11,6,21,-1,0,10,0,21886.54968662172
1980,11,7,20.5,-2.5,0,9,0,21281.584612149258
1980,11,8,21,-1.5,0,9.75,0,22256.658515534018
1980,11,9,22,-3,0,9.5,0,20576.177206099608
1980,11,10,20.5,-2,0,9.25,0,23018.106222736373
1980,11,11,17,1,0,9,0,31922.376918223887
1980,11,12,15.5,3,0,9.25,0,39758.54711199919
1980,11,13,12,-2,0,5,0,33610.45713834035
1980,11,14,11,-8.5,0,1.25,0,25577.500052073206
1980,11,15,6.5,-10.5,0,-2,0,32426.975066829233
1980,11,16,5.5,-6.5,0,-0.5,0,37336.93377075226
1980,11,17,3.5,-10,0,-3.25,0,35587.90683203152
1980,11,18,7.5,-11.5,0,-2,0,27794.550057282202
1980,11,19,9,-12,0,-1.5,0,26786.820371310347
1980,11,20,8,-10.5,0,-1.25,0,30681.330800158645
1980,11,21,9,-9,0,0,0,28000
1980,11,22,8.5,-8.5,0,0,0,32000
1980,11,23,12,-8.5,0,1.75,0,21149.807071048723
1980,11,24,5.5,-3,0,1.25,0,43847.142946411215
1980,11,25,6.5,-4.5,0,1,0,37203.77918510911
1980,11,26,11,-7.5,0,1.75,0,21149.807071048723
1980,11,27,13.5,-5.5,0,4,0,18025.390303664546
1980,11,28,18,-4.5,0,6.75,0,14885.870656994945
1980,11,29,18,-5.5,0,6.25,0,15407.97726275057
1980,11,30,15,0.5,0,7.75,0,25483.330454928346
1980,12,1,12,-0.5,0,5.75,0,31901.316830584892
1980,12,2,14.5,-6,0,4.25,0,17711.3222543015
1980,12,3,15.5,-2,0,6.75,0,22328.805985492414
1980,12,4,12,0.5,0,6.25,0,33383.95073595957
1980,12,5,8.5,0,6,4.25,0.6,44278.30563575375
1980,12,6,5,-1,4,2,0.4,48473.59188913928
1980,12,7,2.5,-3,6,-0.25,0.6,48882.22447656716
1980,12,8,2.5,-9,4,-3.25,0.4,40671.893522321734
1980,12,9,1.5,-13.5,0,-6,0,31302.75231462445
1980,12,10,7,-10,0,-1.5,0,22322.35030942529
1980,12,11,9,-8,0,0.5,0,23144.174093090583
1980,12,12,7,-7,0,0,0,28000
1980,12,13,4,-2,2,1,0.2,48364.91294064184
1980,12,14,8.5,-2.5,0,3,0,35466.613130822545
1980,12,15,12,-3.5,0,4.25,0,26566.983381452254
1980,12,16,14.5,-2,0,6.25,0,25679.96210458428
1980,12,17,17.5,-4,0,6.75,0,17366.849099827432
1980,12,18,13.5,-4,0,4.75,0,22801.826861892012
1980,12,19,12,-6,0,3,0,22569.66290143253
1980,12,20,11.5,-6.5,0,2.5,0,23386.64228556819
1980,12,21,13,-6,0,3.5,0,21784.440159362402
1980,12,22,14,-4.5,0,4.75,0,22801.826861892012
1980,12,23,12,-4.5,0,3.75,0,24460.928622980777
1980,12,24,13.5,-7,0,3.25,0,19005.57252930951
1980,12,25,17,-7,0,5,0,16805.228569170176
1980,12,26,17,-4,0,6.5,0,17668.474277290086
1980,12,27,18,-4,0,7,0,17070.97466765635
1980,12,28,16,-2.5,0,6.75,0,22328.805985492414
1980,12,29,13,-1.5,0,5.75,0,29242.873761369487
1980,12,30,13.5,-5,0,4.25,0,20663.209296685083
1981,1,1,14,-7,0,3.5,0,24896.50303927132
1981,1,2,14.5,-5,0,4.75,0,28502.28357736502
1981,1,3,14,-5.5,0,4.25,0,26566.983381452254
1981,1,4,12.5,-5.5,0,3.5,0,31120.62879908915
1981,1,5,12,-5,0,3.5,0,31120.62879908915
1981,1,6,8,-5.5,0,1.25,0,36539.28578867601
1981,1,7,9.5,-7.5,0,1,0,33483.40126659819
1981,1,8,10.5,-8,0,1.25,0,29231.42863094081
1981,1,9,11.5,-9.5,0,1,0,26042.645429576372
1981,1,10,9,-7,0,1,0,33483.40126659819
1981,1,11,6,-3.5,5,1.25,0.5,43847.142946411215
1981,1,12,3,-1.5,9,0.75,0.9,53034.507161968984
1981,1,13,6,-0.5,4,2.75,0.4,49230.20568849641
1981,1,14,7.5,-3.5,0,2,0,41548.79304783367
1981,1,15,7.5,-3.5,0,2,0,41548.79304783367
1981,1,16,7.5,-1.5,0,3,0,45139.32580286506
1981,1,17,6,-2,0,2,0,45011.19246848647
1981,1,18,8.5,-4.5,0,2,0,38086.39362718086
1981,1,19,11,-5.5,0,2.75,0,32820.137125664274
1981,1,20,11.5,-5.5,0,3,0,32242.375573475045
1981,1,21,11,-4,0,3.5,0,34232.69167899807
1981,1,22,13.5,-7,0,3.25,0,28508.358793964264
1981,1,23,12,-6,0,3,0,29018.13801612754
1981,1,24,9,-5,0,2,0,38086.39362718086
1981,1,25,7,-10,0,-1.5,0,31251.29043319541
1981,1,26,7,-13,0,-3,0,29939.322715176047
1981,1,27,9,-11,0,-1,0,25819.662204305376
1981,1,28,7.5,-4.5,3,1.5,0.3,39476.81657313014
1981,1,29,6,-5.5,3,0.25,0.3,39279.58730557716
1981,1,30,3.5,-5,6,-0.75,0.6,46476.34900809534
1981,1,31,1,-10,0,-4.5,0,39095.99388987677
1981,2,1,5.5,-11.5,0,-3,0,29939.322715176047
1981,2,2,5.5,-13,0,-3.75,0,31669.057153405065
1981,2,3,7,-10,0,-1.5,0,31251.29043319541
1981,2,4,8,-11,0,-1.5,0,31251.29043319541
1981,2,5,9,-12.5,0,-1.75,0,27285.4986787557
1981,2,6,8.5,-10.5,0,-1,0,30122.93923835627
1981,2,7,9,-7,0,1,0,33483.40126659819
1981,2,8,8,-4.5,0,1.75,0,38774.646296922656
1981,2,9,4.5,-2.5,11,1,1.1,48364.91294064184
